אימון,שם,תחמושת
יום קליעה 1,לבן,45.00
יום קליעה 2,לבן,45.00
יום קליעה 3,לבן,45.00
יום קליעה 4,לבן,45.00
יום קליעה 5,לבן,180.00
יום קליעה 6,לבן,100.00
יום קליעה 7,לבן,115.00
יום קליעה 8,לבן,180.00
יום קליעה 9,לבן,100.00
יום קליעה 10,לבן,180.00
יום קליעה 11,לבן,180.00
קורס נגב,נגב,"1,100.00"
קורס קלעים,ירוק,450.00
פרט שפ,לבן,20.00
חוליה שפ,לבן,20.00
פרט שב,לבן,20.00
חוליה שב,לבן,15.00
צמד שב,לבן,15.00
כיתה שפ ,לבן,30.00
שב כיתה,לבן,20.00
רימון,רסס,1.00
רימון,אימונים,1.00
חבלה,נפץ,2.00
חבלה,לבנה,0.50
חבלה,פתיל,3.00
